id,#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName
21,AUCK00NZL,-5105681.0,461564.0,-3782181.7,-36.603,174.834,133.092,TRIMBLE ALLOY
22,BADG00RUS,-838281.5129999999,3865777.334,4987624.632,51.77,102.235,811.8380000000001,JAVAD TRE_3 DELTA
23,BAKO00IDN,-1836969.054,6065617.126,-716257.839,-6.4910000000000005,106.84899999999999,158.562,LEICA GR50
24,BAMF00CAN,-2420721.2,-3439856.061,4778532.675,48.835,-125.135,11.071,SEPT POLARX5
25,BAUT00DEU,3877545.5,1004370.9,4947148.1,51.192,14.522,212.211,JAVAD TRE_3 DELTA
26,BELE00BRA,4228139.05,-4772752.08,-155761.38,-1.409,-48.463,9.476,TRIMBLE NETR9
27,BIK000KGZ,1249005.5455,4513917.3461,4316147.9247,42.854,74.533,745.2869999999999,SEPT POLARX5
28,BILL00USA,-2420420.5012,-4737131.5508,3507827.665,33.578,-117.065,470.478,SEPT POLARX5
29,BOAV00BRA,3117452.21,-5555487.82,314480.74,2.845,-60.701,69.876,TRIMBLE NETR9
30,BOGI00POL,3633815.7,1397453.9,5035280.8,52.475,21.035,140.355,JAVAD TRE_G3T DELTA
31,BOGT00COL,1744399.0397,-6116037.5577,512731.7532,4.64,-74.081,2577.179,JAVAD TRE_3 DELTA
32,BOR100POL,3738358.833,1148173.963,5021816.113,52.277,17.073,125.335,TRIMBLE NETR9
33,BRAZ00BRA,4115014.1128,-4550641.5225,-1741444.0984,-15.947000000000001,-47.878,1106.445,TRIMBLE NETR9
34,BREW00USA,-2112007.1404,-3705351.8421,4726827.1606,48.132,-119.68299999999999,239.058,SEPT POLARX5TR
35,BRMG00DEU,4245557.1,568958.1,4710200.0,47.908,7.632999999999999,262.027,JAVAD TRE_3 DELTA
36,BRST00FRA,4231162.0,-332747.0,4745131.0,48.38,-4.497,65.952,TRIMBLE ALLOY
37,BRUN00BRN,-2680694.374,5761268.529,549016.7729999999,4.971,114.95200000000001,91.069,TRIMBLE NETR9
38,BRUX00BEL,4027881.628,306998.537,4919498.984,50.798,4.359,158.694,SEPT POLARX5TR
39,BSHM00ISR,4396111.1752,3080477.64191,3433499.46187,32.779,35.02,225.516,SEPT POLARX5
40,BUCU00ROU,4093760.994,2007793.667,4445129.862,44.464,26.125999999999998,143.595,LEICA GR50
41,BZR200ITA,4312893.06,864794.52,4603598.27,46.496,11.338,331.63300000000004,LEICA GR30
42,CAS100ATA,-901776.2209999999,2409383.497,-5816748.487000001,-66.283,110.52,22.999000000000002,TRIMBLE ALLOY
43,CCJ200JPN,-4490605.4013,3483894.7513,2884928.2222,27.068,142.195,104.626,TRIMBLE ALLOY
44,CEBR00ESP,4846664.9180000005,-370195.2,4116929.526,40.453,-4.368,776.225,SEPT POLARX5TR
45,CEDU00AUS,-3753473.19,3912741.0266,-3347959.6946,-31.866999999999997,133.81,145.13,SEPT POLARX5
46,CHOF00JPN,-3946216.71,3366689.83,3698971.69,35.675,139.531,94.315,JAVAD TRE_G3TH DELTA
47,CHPG00BRA,4163476.6693,-4163821.9362,-2444511.1746,-22.682,-45.001999999999995,566.658,TRIMBLE ALLOY
48,CHPI00BRA,4164613.89,-4162456.91,-2445028.76,-22.686999999999998,-44.985,617.826,SEPT POLARX5
49,CHTI00NZL,-4607855.9,-272375.8,-4386954.5,-43.735,-176.61700000000002,76.101,TRIMBLE ALLOY
50,CHWK00CAN,-2215259.73,-3543996.83,4802098.77,49.157,-122.008,174.44400000000002,SEPT POLARX5
51,CIBG00IDN,-1837002.6304,6065627.3598,-716183.2715,-6.49,106.84899999999999,169.53400000000002,TRIMBLE ALLOY
52,CKIS00COK,-5583182.1381,-2054143.6114,-2292166.7567,-21.201,-159.80100000000002,18.831,TRIMBLE NETR9
53,CKSV00TWN,-2956619.1898,5075902.1717,2476625.5462,22.999000000000002,120.22,59.978,TRIMBLE ALLOY
54,CMUM00THA,-938078.387,5968373.965,2038404.323,18.761,98.932,309.368,TRIMBLE NETR9
55,COCO00AUS,-741949.8528,6190961.6634,-1337768.7328,-12.187999999999999,96.834,-34.817,SEPT POLARX5
56,CORD00ARG,2345503.9452,-4910842.9601,-3316365.5474,-31.528000000000002,-64.47,747.4810000000001,JAVAD TRE_G3TH DELTA
57,CPNM00THA,-1020874.4959999999,6183763.086,1179096.215,10.725,99.374,9.545,TRIMBLE NETR9
58,CPVG00CPV,5626883.4267,-2380932.5096,1824483.8747,16.732,-22.935,94.494,TRIMBLE ALLOY
59,CRO100VIR,2607771.494,-5488076.997,1932768.0602,17.757,-64.584,-31.092,SEPT POLARX5TR
